Date;Date Value;Open;High;Low;Close;Adj Close;Volume
05.02.2018;43136;254.850006;258.290009;252.600006;255.639999;160.330719;45927950
06.02.2018;43137;250.000000;262.549988;248.100006;258.940002;162.400406;85982210
07.02.2018;43138;263.899994;264.369995;256.260010;257.579987;161.547409;53641051
08.02.2018;43139;256.399994;259.760010;253.190002;253.190002;158.794144;37198410
09.02.2018;43140;249.029999;252.889999;244.130005;250.110001;156.862442;81985010
12.02.2018;43143;253.000000;256.359985;251.669998;255.050003;159.960678;41818172
13.02.2018;43144;255.869995;258.619995;254.699997;258.299988;161.998978;43733365
14.02.2018;43145;259.070007;263.369995;257.260010;262.029999;164.338348;60442410
15.02.2018;43146;267.529999;268.769989;264.000000;264.579987;165.937637;60907490
16.02.2018;43147;265.970001;267.970001;263.109985;266.989990;167.449142;51931218
19.02.2018;43150;267.000000;270.000000;265.299988;266.850006;167.361343;24171390
20.02.2018;43151;266.850006;267.799988;264.720001;267.220001;167.593399;24750891
21.02.2018;43152;266.049988;279.200012;266.049988;279.200012;175.106934;70374570
22.02.2018;43153;277.989990;279.500000;275.519989;277.390015;173.971741;46426480
26.02.2018;43157;279.000000;285.000000;278.589996;280.470001;175.903442;60846953
27.02.2018;43158;280.820007;280.989990;276.609985;278.209991;174.486023;40007060
28.02.2018;43159;276.000000;277.410004;272.000000;272.399994;170.842148;53012970
01.03.2018;43160;270.980011;277.000000;270.899994;275.250000;172.629578;34947676
02.03.2018;43161;274.399994;275.500000;268.559998;273.000000;171.218430;46027890
05.03.2018;43164;273.700012;278.839996;273.500000;277.000000;173.727158;34109000
06.03.2018;43165;278.500000;281.500000;274.029999;274.029999;171.864441;40607160
07.03.2018;43166;272.989990;276.720001;270.149994;274.000000;171.845627;49998920
09.03.2018;43168;274.549988;275.480011;270.609985;274.709991;172.290909;24520061
12.03.2018;43171;276.049988;277.299988;273.549988;274.299988;172.033768;23710461
13.03.2018;43172;274.000000;275.929993;272.660004;273.950012;171.814270;34644686
14.03.2018;43173;273.000000;273.399994;262.109985;262.500000;164.633118;61779860
15.03.2018;43174;263.000000;264.609985;253.289993;254.300003;159.490295;72433235
16.03.2018;43175;255.289993;257.980011;249.759995;256.149994;160.650558;91870966
19.03.2018;43178;257.799988;259.809998;250.009995;255.000000;159.929306;42502108
20.03.2018;43179;255.979996;256.850006;250.399994;256.600006;160.932800;57123790
21.03.2018;43180;258.000000;270.000000;257.230011;268.880005;168.634506;69909935
22.03.2018;43181;269.970001;271.799988;264.100006;265.500000;166.514633;55552150
23.03.2018;43182;259.019989;264.250000;259.019989;262.000000;164.319534;46285065
26.03.2018;43185;262.000000;264.869995;255.729996;256.130005;160.638031;50388981
27.03.2018;43186;256.989990;258.429993;252.270004;258.000000;161.810852;45163390
28.03.2018;43187;255.500000;256.119995;250.750000;251.500000;157.734207;43754270
29.03.2018;43188;252.119995;255.600006;252.119995;252.899994;158.612259;33625620
30.03.2018;43189;254.000000;254.490005;252.800003;253.570007;159.032455;10912160
02.04.2018;43192;253.580002;258.339996;249.990005;249.990005;156.787186;35438280
03.04.2018;43193;250.009995;251.929993;245.380005;251.300003;157.608765;60673851
04.04.2018;43194;252.210007;254.789993;249.089996;254.279999;159.477753;47714171
